x,X,Enter_Participant_ID,date,psychopyVersion,item,clicks,objects,target_pos,probe_obj,probe_p1,probe_p2,probe_p3,probe_p4,probe_p5,probe_p6,probe_p7,test_p1,test_p2,test_p3,test_p4,test_p5,test_p6,test_p7,test_p8,test_p9,test_p10,test_p11,test_p12,test_p13,test_p14,test_p15,test_p16,test_p17,test_p18,test_p19,test_p20,corr_p1,corr_p2,corr_p3,corr_p4,corr_p5,corr_p6,corr_p7,corr_p8,corr_p9,corr_p10,corr_p11,corr_p12,corr_p13,corr_p14,corr_p15,corr_p16,corr_p17,corr_p18,corr_p19,corr_p20,P1T_rectangle,P2T_rectangle,P3T_rectangle,P4T_rectangle,P5T_rectangle,P6T_rectangle,P7T_rectangle,P8T_rectangle,P9T_rectangle,P10T_rectangle,P11T_rectangle,P12T_rectangle,P13T_rectangle,P14T_rectangle,P15T_rectangle,P16T_rectangle,P17T_rectangle,P18T_rectangle,P19T_rectangle,P20T_rectangle,presented,start,end,rt,accuracy,totaltime
67,37,T9999,2024-01-09_10h14.19.691,2022.2.5,item_29,4,6,"2,3,6,7",p6_p7_p10_p11,None,colored PNG/PICTURE_541.png,colored PNG/PICTURE_238.png,None,None,colored PNG/PICTURE_707.png,colored PNG/PICTURE_338.png,None,colored PNG/PICTURE_35.png,colored PNG/PICTURE_64.png,None,None,colored PNG/PICTURE_238.png,colored PNG/PICTURE_707.png,None,None,colored PNG/PICTURE_541.png,colored PNG/PICTURE_338.png,None,None,None,None,None,None,None,None,None,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.89662258,NA,NA,0,56.75655021
68,38,T9999,2024-01-09_10h14.19.691,2022.2.5,item_30,4,6,"2,3,6,7",p2_p7_p10_p11,None,colored PNG/PICTURE_165.png,colored PNG/PICTURE_67.png,None,None,colored PNG/PICTURE_338.png,colored PNG/PICTURE_475.png,None,colored PNG/PICTURE_338.png,colored PNG/PICTURE_69.png,None,None,colored PNG/PICTURE_35.png,colored PNG/PICTURE_165.png,None,None,colored PNG/PICTURE_475.png,colored PNG/PICTURE_67.png,None,None,None,None,None,None,None,None,None,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.96577492,NA,NA,0,56.75655021
69,39,T9999,2024-01-09_10h14.19.691,2022.2.5,item_31,4,8,"2,3,6,7",p2_p6_p12_p13,None,colored PNG/PICTURE_69.png,colored PNG/PICTURE_64.png,None,None,colored PNG/PICTURE_165.png,colored PNG/PICTURE_67.png,None,colored PNG/PICTURE_64.png,colored PNG/PICTURE_707.png,None,None,colored PNG/PICTURE_67.png,colored PNG/PICTURE_35.png,None,None,None,None,colored PNG/PICTURE_69.png,colored PNG/PICTURE_165.png,colored PNG/PICTURE_541.png,colored PNG/PICTURE_238.png,None,None,None,None,None,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,58.02605829,NA,NA,0,56.75655021
70,40,T9999,2024-01-09_10h14.19.691,2022.2.5,item_32,4,8,"2,3,6,7",p7_p12_p14_p15,None,colored PNG/PICTURE_69.png,colored PNG/PICTURE_64.png,None,None,colored PNG/PICTURE_238.png,colored PNG/PICTURE_475.png,None,colored PNG/PICTURE_165.png,colored PNG/PICTURE_541.png,None,None,colored PNG/PICTURE_707.png,colored PNG/PICTURE_238.png,None,None,None,None,colored PNG/PICTURE_69.png,colored PNG/PICTURE_338.png,colored PNG/PICTURE_64.png,colored PNG/PICTURE_475.png,None,None,None,None,None,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,58.09510833,NA,NA,0,56.75655021
71,41,T9999,2024-01-09_10h14.19.691,2022.2.5,item_33,4,10,"2,3,6,7",p1_p18_p19_p20,None,colored PNG/PICTURE_35.png,colored PNG/PICTURE_541.png,None,None,colored PNG/PICTURE_67.png,colored PNG/PICTURE_475.png,colored PNG/PICTURE_35.png,None,None,colored PNG/PICTURE_238.png,colored PNG/PICTURE_338.png,None,None,colored PNG/PICTURE_69.png,colored PNG/PICTURE_707.png,None,None,None,None,None,None,colored PNG/PICTURE_64.png,colored PNG/PICTURE_165.png,colored PNG/PICTURE_67.png,colored PNG/PICTURE_475.png,colored PNG/PICTURE_541.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,58.158954,NA,NA,0,56.75655021
72,42,T9999,2024-01-09_10h14.19.691,2022.2.5,item_34,4,10,"2,3,6,7",p1_p9_p19_p20,None,colored PNG/PICTURE_69.png,colored PNG/PICTURE_64.png,None,None,colored PNG/PICTURE_35.png,colored PNG/PICTURE_707.png,colored PNG/PICTURE_707.png,None,None,colored PNG/PICTURE_338.png,colored PNG/PICTURE_165.png,None,None,colored PNG/PICTURE_475.png,colored PNG/PICTURE_64.png,None,None,None,None,None,None,colored PNG/PICTURE_541.png,colored PNG/PICTURE_67.png,colored PNG/PICTURE_238.png,colored PNG/PICTURE_35.png,colored PNG/PICTURE_69.png,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,58.23053438,NA,NA,0,56.75655021
73,3,T9999,2024-01-09_10h23.18.270,2022.2.5,sample1,1,NA,,,colored PNG/PICTURE_203.png,None,None,None,,,,None,colored PNG/PICTURE_203.png,colored PNG/PICTURE_508.png,None,None,None,,,,,,,,,,,,,,,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.645904125,8.484650375,2.83874625,1,66.35293321
74,6,T9999,2024-01-09_10h23.18.270,2022.2.5,item01,1,2,test_p3,p3,colored PNG/PICTURE_78.png,,,,,,,None,colored PNG/PICTURE_353.png,colored PNG/PICTURE_78.png,None,None,None,None,None,None,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15.29788537,17.22054546,1.922660083,0,66.35293321
75,7,T9999,2024-01-09_10h23.18.270,2022.2.5,item02,1,2,test_p2,p2,colored PNG/PICTURE_423.png,,,,,,,None,colored PNG/PICTURE_423.png,colored PNG/PICTURE_695.png,None,None,None,None,None,None,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21.18080087,23.15940983,1.978608958,0,66.35293321
76,8,T9999,2024-01-09_10h23.18.270,2022.2.5,item03,1,2,test_p3,p3,colored PNG/PICTURE_264.png,,,,,,,None,colored PNG/PICTURE_285.png,colored PNG/PICTURE_264.png,None,None,None,None,None,None,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,27.10069287,28.85315996,1.752467083,0,66.35293321
