"","Enter_Participant_ID","date","psychopyVersion","item","clicks","objects","target_pos","probe_obj","probe_p1","probe_p2","probe_p3","probe_p4","probe_p5","probe_p6","probe_p7","test_p1","test_p2","test_p3","test_p4","test_p5","test_p6","test_p7","test_p8","test_p9","test_p10","test_p11","test_p12","test_p13","test_p14","test_p15","test_p16","test_p17","test_p18","test_p19","test_p20","corr_p1","corr_p2","corr_p3","corr_p4","corr_p5","corr_p6","corr_p7","corr_p8","corr_p9","corr_p10","corr_p11","corr_p12","corr_p13","corr_p14","corr_p15","corr_p16","corr_p17","corr_p18","corr_p19","corr_p20","P1T_rectangle","P2T_rectangle","P3T_rectangle","P4T_rectangle","P5T_rectangle","P6T_rectangle","P7T_rectangle","P8T_rectangle","P9T_rectangle","P10T_rectangle","P11T_rectangle","P12T_rectangle","P13T_rectangle","P14T_rectangle","P15T_rectangle","P16T_rectangle","P17T_rectangle","P18T_rectangle","P19T_rectangle","P20T_rectangle","presented","start","end","rt","accuracy","totaltime"
"3","T9999","2024-01-09_10h25.41.851","2022.2.5","sample1","1",NA,"","","colored PNG/PICTURE_203.png","None","None","None","","","","None","colored PNG/PICTURE_203.png","colored PNG/PICTURE_508.png","None","None","None","","","","","","","","","","","","","","",1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.19128108303994,6.98355733300559,1.79227624996565,1,362.219434917031
"6","T9999","2024-01-09_10h25.41.851","2022.2.5","item01","1",2,"test_p3","p3","colored PNG/PICTURE_78.png","","","","","","","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_78.png","None","None","None","None","None","None","","","","","","","","","","","",0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14.0896465830156,15.923394417041,1.83374783402542,1,362.219434917031
"7","T9999","2024-01-09_10h25.41.851","2022.2.5","item02","1",2,"test_p2","p2","colored PNG/PICTURE_423.png","","","","","","","None","colored PNG/PICTURE_423.png","colored PNG/PICTURE_695.png","None","None","None","None","None","None","","","","","","","","","","","",0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19.7811129170004,21.259387875034,1.47827495803358,1,362.219434917031
"8","T9999","2024-01-09_10h25.41.851","2022.2.5","item03","1",2,"test_p3","p3","colored PNG/PICTURE_264.png","","","","","","","None","colored PNG/PICTURE_285.png","colored PNG/PICTURE_264.png","None","None","None","None","None","None","","","","","","","","","","","",0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25.1208234170335,27.6255392080056,2.50471579097211,1,362.219434917031
"9","T9999","2024-01-09_10h25.41.851","2022.2.5","item04","1",3,"test_p4","p4","colored PNG/PICTURE_423.png","","","","","","","colored PNG/PICTURE_78.png","None","None","colored PNG/PICTURE_423.png","colored PNG/PICTURE_353.png","None","None","None","None","","","","","","","","","","","",0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,31.613499500032,33.1166541250423,1.50315462501021,1,362.219434917031
"10","T9999","2024-01-09_10h25.41.851","2022.2.5","item05","1",3,"test_p5","p5","colored PNG/PICTURE_695.png","","","","","","","colored PNG/PICTURE_285.png","None","None","colored PNG/PICTURE_78.png","colored PNG/PICTURE_695.png","None","None","None","None","","","","","","","","","","","",0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37.0678132080357,39.3673802500125,2.29956704197684,1,362.219434917031
"11","T9999","2024-01-09_10h25.41.851","2022.2.5","item06","1",3,"test_p1","p1","colored PNG/PICTURE_353.png","","","","","","","colored PNG/PICTURE_264.png","None","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_423.png","None","None","None","None","","","","","","","","","","","",0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,43.318095583003,45.2960569580318,1.97796137502883,1,362.219434917031
"12","T9999","2024-01-09_10h25.41.851","2022.2.5","item07","1",4,"test_p3","p3","colored PNG/PICTURE_285.png","","","","","","","None","colored PNG/PICTURE_264.png","colored PNG/PICTURE_285.png","None","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_695.png","None","None","","","","","","","","","","","",0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,49.2721836250275,50.9841401250451,1.71195650001755,1,362.219434917031
"13","T9999","2024-01-09_10h25.41.851","2022.2.5","item08","1",4,"test_p2","p2","colored PNG/PICTURE_78.png","","","","","","","None","colored PNG/PICTURE_78.png","colored PNG/PICTURE_264.png","None","None","colored PNG/PICTURE_695.png","colored PNG/PICTURE_423.png","None","None","","","","","","","","","","","",0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,54.8173306250246,56.3286602080334,1.51132958300877,1,362.219434917031
"14","T9999","2024-01-09_10h25.41.851","2022.2.5","item09","1",5,"test_p9","p9","colored PNG/PICTURE_285.png","","","","","","","colored PNG/PICTURE_78.png","None","None","colored PNG/PICTURE_695.png","colored PNG/PICTURE_264.png","None","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_285.png","","","","","","","","","","","",0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,60.1833627500455,62.4576535420492,2.27429079200374,1,362.219434917031
"16","T9999","2024-01-09_10h25.41.851","2022.2.5","sample2","None",NA,"","","None","colored PNG/PICTURE_122.png","colored PNG/PICTURE_268.png","None","","","","None","colored PNG/PICTURE_122.png","colored PNG/PICTURE_446.png","None","None","colored PNG/PICTURE_268.png","colored PNG/PICTURE_324.png","","","","","","","","","","","","","",0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,69.4826682920102,72.3110936250305,2.82842533302028,1,362.219434917031
"18","T9999","2024-01-09_10h25.41.851","2022.2.5","item_10","2",4,"2.3","p3_p6","None","colored PNG/PICTURE_672.png","colored PNG/PICTURE_3.png","None","None","None","None","None","colored PNG/PICTURE_360.png","colored PNG/PICTURE_672.png","None","None","colored PNG/PICTURE_3.png","colored PNG/PICTURE_585.png","None","None","None","None","None","None","None","None","None","None","None","None","None",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,80.866403208056,83.7281570830382,2.86175387498224,1,362.219434917031
"19","T9999","2024-01-09_10h25.41.851","2022.2.5","item_11","2",4,"2.3","p2_p6","None","colored PNG/PICTURE_309.png","colored PNG/PICTURE_190.png","None","None","None","None","None","colored PNG/PICTURE_190.png","colored PNG/PICTURE_585.png","None","None","colored PNG/PICTURE_309.png","colored PNG/PICTURE_3.png","None","None","None","None","None","None","None","None","None","None","None","None","None",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,89.582569625054,93.3243102920242,3.74174066697014,1,362.219434917031
"20","T9999","2024-01-09_10h25.41.851","2022.2.5","item_12","2",4,"2.3","p6_p7","None","colored PNG/PICTURE_585.png","colored PNG/PICTURE_360.png","None","None","None","None","None","colored PNG/PICTURE_672.png","colored PNG/PICTURE_309.png","None","None","colored PNG/PICTURE_360.png","colored PNG/PICTURE_585.png","None","None","None","None","None","None","None","None","None","None","None","None","None",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,99.3336625000229,102.720517250011,3.38685474998783,1,362.219434917031
"21","T9999","2024-01-09_10h25.41.851","2022.2.5","item_13","2",4,"2.3","p3_p6","None","colored PNG/PICTURE_585.png","colored PNG/PICTURE_190.png","None","None","None","None","None","colored PNG/PICTURE_360.png","colored PNG/PICTURE_585.png","None","None","colored PNG/PICTURE_190.png","colored PNG/PICTURE_672.png","None","None","None","None","None","None","None","None","None","None","None","None","None",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,108.68114554201,112.428695250012,3.74754970800132,1,362.219434917031
"22","T9999","2024-01-09_10h25.41.851","2022.2.5","item_14","2",5,"2.3","p8_p9","None","colored PNG/PICTURE_3.png","colored PNG/PICTURE_360.png","None","None","None","None","colored PNG/PICTURE_309.png","None","None","colored PNG/PICTURE_585.png","colored PNG/PICTURE_190.png","None","None","colored PNG/PICTURE_360.png","colored PNG/PICTURE_3.png","None","None","None","None","None","None","None","None","None","None","None",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,118.348372500041,122.680638792051,4.3322662920109,1,362.219434917031
"23","T9999","2024-01-09_10h25.41.851","2022.2.5","item_15","2",5,"2.3","p1_p8","None","colored PNG/PICTURE_672.png","colored PNG/PICTURE_190.png","None","None","None","None","colored PNG/PICTURE_672.png","None","None","colored PNG/PICTURE_360.png","colored PNG/PICTURE_309.png","None","None","colored PNG/PICTURE_190.png","colored PNG/PICTURE_3.png","None","None","None","None","None","None","None","None","None","None","None",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,128.672277500038,134.087410250038,5.41513275000034,1,362.219434917031
"24","T9999","2024-01-09_10h25.41.851","2022.2.5","item_16","2",6,"2.3","p6_p7","None","colored PNG/PICTURE_309.png","colored PNG/PICTURE_3.png","None","None","None","None","None","colored PNG/PICTURE_190.png","colored PNG/PICTURE_672.png","None","None","colored PNG/PICTURE_3.png","colored PNG/PICTURE_309.png","None","None","colored PNG/PICTURE_360.png","colored PNG/PICTURE_585.png","None","None","None","None","None","None","None","None","None",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,140.242518292041,143.499541750003,3.25702345796162,1,362.219434917031
"25","T9999","2024-01-09_10h25.41.851","2022.2.5","item_17","2",6,"2.3","p3_p6","None","colored PNG/PICTURE_672.png","colored PNG/PICTURE_585.png","None","None","None","None","None","colored PNG/PICTURE_309.png","colored PNG/PICTURE_672.png","None","None","colored PNG/PICTURE_585.png","colored PNG/PICTURE_190.png","None","None","colored PNG/PICTURE_3.png","colored PNG/PICTURE_360.png","None","None","None","None","None","None","None","None","None",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,149.371993208013,152.093807875004,2.72181466699112,1,362.219434917031
"26","T9999","2024-01-09_10h25.41.851","2022.2.5","item_18","2",6,"2.3","p7_p10","None","colored PNG/PICTURE_309.png","colored PNG/PICTURE_360.png","None","None","None","None","None","colored PNG/PICTURE_672.png","colored PNG/PICTURE_190.png","None","None","colored PNG/PICTURE_3.png","colored PNG/PICTURE_309.png","None","None","colored PNG/PICTURE_360.png","colored PNG/PICTURE_585.png","None","None","None","None","None","None","None","None","None",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,158.047469083045,162.491198000032,4.44372891698731,1,362.219434917031
"27","T9999","2024-01-09_10h25.41.851","2022.2.5","item_19","3",5,"1,4,5","p1_p8_p9","colored PNG/PICTURE_90.png","None","None","colored PNG/PICTURE_100.png","colored PNG/PICTURE_430.png","None","None","colored PNG/PICTURE_100.png","None","None","colored PNG/PICTURE_448.png","colored PNG/PICTURE_1.png","None","None","colored PNG/PICTURE_430.png","colored PNG/PICTURE_90.png","None","None","None","None","None","None","None","None","None","None","None",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,168.379128875036,173.181981208036,4.80285233299946,1,362.219434917031
