"","Enter_Participant_ID","date","psychopyVersion","item","clicks","objects","target_pos","probe_obj","probe_p1","probe_p2","probe_p3","probe_p4","probe_p5","probe_p6","probe_p7","test_p1","test_p2","test_p3","test_p4","test_p5","test_p6","test_p7","test_p8","test_p9","test_p10","test_p11","test_p12","test_p13","test_p14","test_p15","test_p16","test_p17","test_p18","test_p19","test_p20","corr_p1","corr_p2","corr_p3","corr_p4","corr_p5","corr_p6","corr_p7","corr_p8","corr_p9","corr_p10","corr_p11","corr_p12","corr_p13","corr_p14","corr_p15","corr_p16","corr_p17","corr_p18","corr_p19","corr_p20","P1T_rectangle","P2T_rectangle","P3T_rectangle","P4T_rectangle","P5T_rectangle","P6T_rectangle","P7T_rectangle","P8T_rectangle","P9T_rectangle","P10T_rectangle","P11T_rectangle","P12T_rectangle","P13T_rectangle","P14T_rectangle","P15T_rectangle","P16T_rectangle","P17T_rectangle","P18T_rectangle","P19T_rectangle","P20T_rectangle","presented","start","end","rt","accuracy","totaltime"
"3","T9999","2024-01-09_10h14.19.691","2022.2.5","sample1","1",NA,"","","colored PNG/PICTURE_203.png","None","None","None","","","","None","colored PNG/PICTURE_203.png","colored PNG/PICTURE_508.png","None","None","None","","","","","","","","","","","","","","",1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.24637104099384,10.6035199579783,4.35714891698444,1,56.7565502079669
"6","T9999","2024-01-09_10h14.19.691","2022.2.5","item01","1",2,"test_p3","p3","colored PNG/PICTURE_78.png","","","","","","","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_78.png","None","None","None","None","None","None","","","","","","","","","","","",0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17.6987712080008,18.9329896249692,1.23421841696836,0,56.7565502079669
"7","T9999","2024-01-09_10h14.19.691","2022.2.5","item02","1",2,"test_p2","p2","colored PNG/PICTURE_423.png","","","","","","","None","colored PNG/PICTURE_423.png","colored PNG/PICTURE_695.png","None","None","None","None","None","None","","","","","","","","","","","",0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,23.2395999999717,23.9051957909833,0.665595791011583,0,56.7565502079669
"8","T9999","2024-01-09_10h14.19.691","2022.2.5","item03","1",2,"test_p3","p3","colored PNG/PICTURE_264.png","","","","","","","None","colored PNG/PICTURE_285.png","colored PNG/PICTURE_264.png","None","None","None","None","None","None","","","","","","","","","","","",0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,28.8037647499586,29.3693811249686,0.565616375009995,0,56.7565502079669
"9","T9999","2024-01-09_10h14.19.691","2022.2.5","item04","1",3,"test_p4","p4","colored PNG/PICTURE_423.png","","","","","","","colored PNG/PICTURE_78.png","None","None","colored PNG/PICTURE_423.png","colored PNG/PICTURE_353.png","None","None","None","None","","","","","","","","","","","",0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,33.4233089159825,34.0184034999693,0.595094583986793,0,56.7565502079669
"10","T9999","2024-01-09_10h14.19.691","2022.2.5","item05","1",3,"test_p5","p5","colored PNG/PICTURE_695.png","","","","","","","colored PNG/PICTURE_285.png","None","None","colored PNG/PICTURE_78.png","colored PNG/PICTURE_695.png","None","None","None","None","","","","","","","","","","","",0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,38.0712721659802,38.659967124986,0.588694959005807,0,56.7565502079669
"11","T9999","2024-01-09_10h14.19.691","2022.2.5","item06","1",3,"test_p1","p1","colored PNG/PICTURE_353.png","","","","","","","colored PNG/PICTURE_264.png","None","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_423.png","None","None","None","None","","","","","","","","","","","",0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,42.757170124969,43.479904250009,0.722734125040006,0,56.7565502079669
"12","T9999","2024-01-09_10h14.19.691","2022.2.5","item07","1",4,"test_p3","p3","colored PNG/PICTURE_285.png","","","","","","","None","colored PNG/PICTURE_264.png","colored PNG/PICTURE_285.png","None","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_695.png","None","None","","","","","","","","","","","",0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,47.5410069159698,48.0493485410116,0.508341625041794,0,56.7565502079669
"13","T9999","2024-01-09_10h14.19.691","2022.2.5","item08","1",4,"test_p2","p2","colored PNG/PICTURE_78.png","","","","","","","None","colored PNG/PICTURE_78.png","colored PNG/PICTURE_264.png","None","None","colored PNG/PICTURE_695.png","colored PNG/PICTURE_423.png","None","None","","","","","","","","","","","",0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,52.10870087496,52.5181588749983,0.409458000038285,0,56.7565502079669
"14","T9999","2024-01-09_10h14.19.691","2022.2.5","item09","1",5,"test_p9","p9","colored PNG/PICTURE_285.png","","","","","","","colored PNG/PICTURE_78.png","None","None","colored PNG/PICTURE_695.png","colored PNG/PICTURE_264.png","None","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_285.png","","","","","","","","","","","",0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,56.4665679580066,56.7565502079669,0.289982249960303,0,56.7565502079669
"16","T9999","2024-01-09_10h14.19.691","2022.2.5","sample2","None",NA,"","","None","colored PNG/PICTURE_122.png","colored PNG/PICTURE_268.png","None","","","","None","colored PNG/PICTURE_122.png","colored PNG/PICTURE_446.png","None","None","colored PNG/PICTURE_268.png","colored PNG/PICTURE_324.png","","","","","","","","","","","","","",0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,56.7786417499883,56.7947819159599,0.0161401659715921,0,56.7565502079669
