"","Enter_Participant_ID","date","psychopyVersion","item","clicks","objects","target_pos","probe_obj","probe_p1","probe_p2","probe_p3","probe_p4","probe_p5","probe_p6","probe_p7","test_p1","test_p2","test_p3","test_p4","test_p5","test_p6","test_p7","test_p8","test_p9","test_p10","test_p11","test_p12","test_p13","test_p14","test_p15","test_p16","test_p17","test_p18","test_p19","test_p20","corr_p1","corr_p2","corr_p3","corr_p4","corr_p5","corr_p6","corr_p7","corr_p8","corr_p9","corr_p10","corr_p11","corr_p12","corr_p13","corr_p14","corr_p15","corr_p16","corr_p17","corr_p18","corr_p19","corr_p20","P1T_rectangle","P2T_rectangle","P3T_rectangle","P4T_rectangle","P5T_rectangle","P6T_rectangle","P7T_rectangle","P8T_rectangle","P9T_rectangle","P10T_rectangle","P11T_rectangle","P12T_rectangle","P13T_rectangle","P14T_rectangle","P15T_rectangle","P16T_rectangle","P17T_rectangle","P18T_rectangle","P19T_rectangle","P20T_rectangle","presented","start","end","rt","accuracy","totaltime"
"3","T999","2024-01-09_10h06.29.755","2022.2.5","sample1","1",NA,"","","colored PNG/PICTURE_203.png","None","None","None","","","","None","colored PNG/PICTURE_203.png","colored PNG/PICTURE_508.png","None","None","None","","","","","","","","","","","","","","",1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.15292416699231,8.36517479200847,2.21225062501617,1,71.1969404589618
"6","T999","2024-01-09_10h06.29.755","2022.2.5","item01","1",2,"test_p3","p3","colored PNG/PICTURE_78.png","","","","","","","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_78.png","None","None","None","None","None","None","","","","","","","","","","","",0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15.8598356670118,18.675848666986,2.81601299997419,0,71.1969404589618
"7","T999","2024-01-09_10h06.29.755","2022.2.5","item02","1",2,"test_p2","p2","colored PNG/PICTURE_423.png","","","","","","","None","colored PNG/PICTURE_423.png","colored PNG/PICTURE_695.png","None","None","None","None","None","None","","","","","","","","","","","",0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,23.0059945840039,27.9291998749832,4.92320529097924,0,71.1969404589618
"8","T999","2024-01-09_10h06.29.755","2022.2.5","item03","1",2,"test_p3","p3","colored PNG/PICTURE_264.png","","","","","","","None","colored PNG/PICTURE_285.png","colored PNG/PICTURE_264.png","None","None","None","None","None","None","","","","","","","","","","","",0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,32.3052366669872,34.5571474169847,2.25191074999748,0,71.1969404589618
"9","T999","2024-01-09_10h06.29.755","2022.2.5","item04","1",3,"test_p4","p4","colored PNG/PICTURE_423.png","","","","","","","colored PNG/PICTURE_78.png","None","None","colored PNG/PICTURE_423.png","colored PNG/PICTURE_353.png","None","None","None","None","","","","","","","","","","","",0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,39.2314778339933,40.9371637500008,1.7056859160075,0,71.1969404589618
"10","T999","2024-01-09_10h06.29.755","2022.2.5","item05","1",3,"test_p5","p5","colored PNG/PICTURE_695.png","","","","","","","colored PNG/PICTURE_285.png","None","None","colored PNG/PICTURE_78.png","colored PNG/PICTURE_695.png","None","None","None","None","","","","","","","","","","","",0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,44.8390882919775,46.9547030839603,2.11561479198281,0,71.1969404589618
"11","T999","2024-01-09_10h06.29.755","2022.2.5","item06","1",3,"test_p1","p1","colored PNG/PICTURE_353.png","","","","","","","colored PNG/PICTURE_264.png","None","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_423.png","None","None","None","None","","","","","","","","","","","",0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50.7991813750123,52.7757477500127,1.9765663750004,0,71.1969404589618
"12","T999","2024-01-09_10h06.29.755","2022.2.5","item07","1",4,"test_p3","p3","colored PNG/PICTURE_285.png","","","","","","","None","colored PNG/PICTURE_264.png","colored PNG/PICTURE_285.png","None","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_695.png","None","None","","","","","","","","","","","",0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,56.6934455420123,58.8653691249783,2.17192358296597,0,71.1969404589618
"13","T999","2024-01-09_10h06.29.755","2022.2.5","item08","1",4,"test_p2","p2","colored PNG/PICTURE_78.png","","","","","","","None","colored PNG/PICTURE_78.png","colored PNG/PICTURE_264.png","None","None","colored PNG/PICTURE_695.png","colored PNG/PICTURE_423.png","None","None","","","","","","","","","","","",0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,62.8393214169773,65.2984497089637,2.45912829198642,0,71.1969404589618
"14","T999","2024-01-09_10h06.29.755","2022.2.5","item09","1",5,"test_p9","p9","colored PNG/PICTURE_285.png","","","","","","","colored PNG/PICTURE_78.png","None","None","colored PNG/PICTURE_695.png","colored PNG/PICTURE_264.png","None","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_285.png","","","","","","","","","","","",0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,69.1829437089618,71.1969404589618,2.01399674999993,0,71.1969404589618
"16","T999","2024-01-09_10h06.29.755","2022.2.5","sample2","None",NA,"","","None","colored PNG/PICTURE_122.png","colored PNG/PICTURE_268.png","None","","","","None","colored PNG/PICTURE_122.png","colored PNG/PICTURE_446.png","None","None","colored PNG/PICTURE_268.png","colored PNG/PICTURE_324.png","","","","","","","","","","","","","",0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,71.2196715839673,71.2355887090089,0.0159171250415966,0,71.1969404589618
"18","T999","2024-01-09_10h06.29.755","2022.2.5","item_10","2",4,"2.3","p3_p6","None","colored PNG/PICTURE_672.png","colored PNG/PICTURE_3.png","None","None","None","None","None","colored PNG/PICTURE_360.png","colored PNG/PICTURE_672.png","None","None","colored PNG/PICTURE_3.png","colored PNG/PICTURE_585.png","None","None","None","None","None","None","None","None","None","None","None","None","None",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,71.2913994590053,71.3055689999601,0,0,71.1969404589618
"19","T999","2024-01-09_10h06.29.755","2022.2.5","item_11","2",4,"2.3","p2_p6","None","colored PNG/PICTURE_309.png","colored PNG/PICTURE_190.png","None","None","None","None","None","colored PNG/PICTURE_190.png","colored PNG/PICTURE_585.png","None","None","colored PNG/PICTURE_309.png","colored PNG/PICTURE_3.png","None","None","None","None","None","None","None","None","None","None","None","None","None",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,71.3402277089772,NA,0,0,71.1969404589618
"20","T999","2024-01-09_10h06.29.755","2022.2.5","item_12","2",4,"2.3","p6_p7","None","colored PNG/PICTURE_585.png","colored PNG/PICTURE_360.png","None","None","None","None","None","colored PNG/PICTURE_672.png","colored PNG/PICTURE_309.png","None","None","colored PNG/PICTURE_360.png","colored PNG/PICTURE_585.png","None","None","None","None","None","None","None","None","None","None","None","None","None",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,71.3779149999609,NA,0,0,71.1969404589618
