"","uni_lemma","Cantonese","Croatian","Czech","Danish","Dutch","English (American)","English (Australian)","English (British)","French (French)","French (Quebecois)","German","Hebrew","Hungarian","Italian","Kigiriama","Korean","Latvian","Mandarin (Beijing)","Mandarin (Taiwanese)","Norwegian","Persian","Portuguese (European)","Russian","Slovak","Spanish (Argentinian)","Spanish (European)","Spanish (Mexican)","Turkish","total","N","prop","sd","se","ci"
"30","MOON",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,26,26,0.826538461538462,0.105259386572117,0.0206430640815397,0.0425151863228879
"31","MOUNTAIN",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,9,9,0.548888888888889,0.192317734780522,0.0641059115935073,0.14782849722566
"32","MOUTH",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,26,26,0.922692307692308,0.0597700722641485,0.0117218755693748,0.0241416546457044
"33","NOSE",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,26,26,0.938461538461538,0.0479743521221336,0.00940854452395117,0.0193772601723734
"34","ORANGE (FOOD)",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,27,0.77,0.137337316347519,0.0264305788543403,0.0543288329154682
"35","PIG",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,25,25,0.7692,0.236289370617188,0.0472578741234375,0.097535458428961
"36","PINEAPPLE",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,3,0.466666666666667,0.0850490054811538,0.0491030662088541,0.211273441862595
"37","PUZZLE",0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,16,16,0.6175,0.174451521441727,0.0436128803604317,0.0929586540247951
"38","RAIN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,28,0.863214285714286,0.125787992461996,0.0237716961408934,0.0487754915703817
"39","SHIRT",1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,23,23,0.688695652173913,0.213590609851184,0.0445367208612129,0.0923635059268289
"40","SHOE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,28,0.841071428571429,0.224999412109755,0.0425208921127248,0.0872456640248546
"41","STAIRS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,26,26,0.757692307692308,0.139579588545251,0.0273738094496726,0.0563774158973232
"42","TRAIN",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,26,26,0.848076923076923,0.109836942083043,0.021540796576723,0.0443641010067774
"43","TREE",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,27,0.853703703703704,0.0891907268441387,0.0171647633842273,0.0352826764436184
"44","WALL",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,6,6,0.721666666666667,0.151184214343518,0.0617206970508633,0.158658102721761
