list,uni_lemma,png,Cantonese,Croatian,Czech,Danish,Dutch,English (American),English (Australian),English (British),French (French),French (Quebecois),German,Hebrew,Hungarian,Italian,Kigiriama,Korean,Latvian,Mandarin (Beijing),Mandarin (Taiwanese),Norwegian,Persian,Portuguese (European),Russian,Slovak,Spanish (Argentinian),Spanish (European),Spanish (Mexican),Turkish,N,prop,sd,se,ci
28,ICE CREAM,PICTURE_309 2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,26,0.834615385,0.114864469,0.022526776,0.046394763
41,JAR,PICTURE_448 2.png,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,9,0.495555556,0.246632881,0.08221096,0.189578814
23,KEY,PICTURE_78 2.png,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,26,0.848076923,0.081487139,0.015980943,0.032913368
29,MOON,PICTURE_90 2.png,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,26,0.826538462,0.105259387,0.020643064,0.042515186
14,MOUTH,PICTURE_91 2.png,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,26,0.922692308,0.059770072,0.011721876,0.024141655
5,NOSE,PICTURE_100 2.png,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,26,0.938461538,0.047974352,0.009408545,0.01937726
31,ORANGE (FOOD),,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,0.77,0.137337316,0.026430579,0.054328833
40,PUZZLE,PICTURE_238 2.png,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,16,0.6175,0.174451521,0.04361288,0.092958654
21,RAIN,PICTURE_190 2.png,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,0.863214286,0.125787992,0.023771696,0.048775492
38,SHIRT,PICTURE_353 2.png,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,23,0.688695652,0.21359061,0.044536721,0.092363506
26,SHOE,PICTURE_541 2.png,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,0.841071429,0.224999412,0.042520892,0.087245664
32,STAIRS,PICTURE_3 2.png,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,26,0.757692308,0.139579589,0.027373809,0.056377416
24,TRAIN,PICTURE_475 2.png,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,26,0.848076923,0.109836942,0.021540797,0.044364101
,TREE,PICTURE_360 2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIG,PICTURE_446 2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
