list,item,probe_p1,probe_p2,probe_p3,probe_p4,test_p1,test_p2,test_p3,test_p4,test_p5,test_p6,clicks,corr_p1,corr_p2,corr_p3,corr_p4,corr_p5,corr_p6,objects,target_pos,positions,probe_obj,test_p7,test_p8,test_p9,corr_p7,corr_p8,corr_p9,probe_p5,probe_p6,probe_p7,test_p10,test_p11,test_p12,test_p13,test_p14,test_p15,test_p16,test_p17,test_p18,test_p19,test_p20,corr_p10,corr_p11,corr_p12,corr_p13,corr_p14,corr_p15,corr_p16,corr_p17,corr_p18,corr_p19,corr_p20,sum,mng_practice_loop.thisRepN,mng_practice_loop.thisTrialN,mng_practice_loop.thisN,mng_practice_loop.thisIndex,mng_practice.thisRepN,mng_practice.thisTrialN,mng_practice.thisN,mng_practice.thisIndex,mng_exptrials_t1.thisRepN,mng_exptrials_t1.thisTrialN,mng_exptrials_t1.thisN,mng_exptrials_t1.thisIndex,mng_practice2_loop.thisRepN,mng_practice2_loop.thisTrialN,mng_practice2_loop.thisN,mng_practice2_loop.thisIndex,mng_practice2.thisRepN,mng_practice2.thisTrialN,mng_practice2.thisN,mng_practice2.thisIndex,mng_exptrials_t2.thisRepN,mng_exptrials_t2.thisTrialN,mng_exptrials_t2.thisN,mng_exptrials_t2.thisIndex,mng_exptrials_t3.thisRepN,mng_exptrials_t3.thisTrialN,mng_exptrials_t3.thisN,mng_exptrials_t3.thisIndex,mng_exptrials_t4.thisRepN,mng_exptrials_t4.thisTrialN,mng_exptrials_t4.thisN,mng_exptrials_t4.thisIndex,text.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,text_5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,blank_box.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,P1_sample.started,key_resp.started,P1_sample.stopped,key_resp.keys,start,mouse.started,P1T_rectangle.started,P2T_rectangle.started,P1T.started,P2T.started,finish.started,P1T_rectangle,end,rt,accuracy,presented,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_28.started,image.started,key_resp_6.keys,key_resp_14.started,text_24.started,key_resp_14.keys,key_resp_14.rt,P1_sample_2.started,key_resp_5.started,P1_sample_2.stopped,key_resp_5.keys,mouse_2.started,P2T_rectangle_1t.started,P3T_rectangle_1t.started,P1T_1t.started,P2T_1t.started,P3T_1t.started,P4T_1t.started,P5T_1t.started,P6T_1t.started,P7t_1t.started,P8t_1t.started,P9t_1t.started,finish_2.started,P2T_rectangle,accuracy_t1_o2,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.started,P1T_rectangle_1t_2.started,P4T_rectangle_1t_2.started,P5T_rectangle_1t_2.started,P1T_1t_2.started,P2T_1t_2.started,P3T_1t_2.started,P4T_1t_2.started,P5T_1t_2.started,P6T_1t_2.started,P7t_1t_2.started,P8t_1t_2.started,P9t_1t_2.started,finish_3.started,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_4.started,P2T_rectangle_1t_3.started,P3T_rectangle_1t_3.started,P6T_rectangle_1t_3.started,P7T_rectangle_1t_3.started,P1T_1t_3.started,P2T_1t_3.started,P3T_1t_3.started,P4T_1t_3.started,P5T_1t_3.started,P6T_1t_3.started,P7t_1t_3.started,P8t_1t_3.started,P9t_1t_3.started,finish_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,key_resp_5.stopped,P3T_rectangle,accuracy_t1_o3,accuracy_t1_o4,mouse_5.started,P1T_rectangle_1t_4.started,P4T_rectangle_1t_4.started,P5T_rectangle_1t_4.started,P8T_rectangle_1t_4.started,P9T_rectangle_1t_4.started,P1T_1t_4.started,P2T_1t_4.started,P3T_1t_4.started,P4T_1t_4.started,P5T_1t_4.started,P6T_1t_4.started,P7t_1t_4.started,P8t_1t_4.started,P9t_1t_4.started,finish_5.started,P6T_rectangle,P4T_rectangle,accuracy_t1_o5,text_8.started,key_resp_7.started,key_resp_7.keys,blank_box_3.started,key_resp_18.started,key_resp_18.keys,P2_sample2_2t.started,P3_sample2_2t.started,key_resp_11.started,key_resp_11.keys,mouse_15.started,P2T_rectangle_2t_sample.started,P3T_rectangle_2t_sample.started,P6T_rectangle_2t_sample.started,P7T_rectangle_2t_sample.started,P1T_1t_14.started,P2T_1t_14.started,P3T_1t_14.started,P4T_1t_14.started,P5T_1t_14.started,P6T_1t_14.started,P7t_1t_14.started,finish_15.started,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,text_3.started,image_2.started,text_25.started,key_resp_15.started,key_resp_15.keys,key_resp_21.started,text_26.started,key_resp_21.keys,blank_box_2.started,key_resp_17.started,key_resp_17.keys,P2_sample_2t.started,P3_sample_2t.started,key_resp_8.started,key_resp_8.keys,mouse_18.started,P2T_rectangle_2t_4.started,P3T_rectangle_2t_4.started,P6T_rectangle_2t_4.started,P7T_rectangle_2t_4.started,P1T_1t_5.started,P2T_1t_5.started,P3T_1t_5.started,P4T_1t_5.started,P5T_1t_5.started,P6T_1t_5.started,P7t_1t_5.started,P8t_1t_5.started,P9t_1t_5.started,finish_6.started,accuracy_t2_o4,mouse_18.x,mouse_18.y,mouse_18.leftButton,mouse_18.midButton,mouse_18.rightButton,mouse_7.started,P1T_rectangle_2t_5.started,P4T_rectangle_2t_5.started,P5T_rectangle_2t_5.started,P8T_rectangle_2t_5.started,P9T_rectangle_2t_5.started,P1T_1t_6.started,P2T_1t_6.started,P3T_1t_6.started,P4T_1t_6.started,P5T_1t_6.started,P6T_1t_6.started,P7t_1t_6.started,P8t_1t_6.started,P9t_1t_6.started,finish_7.started,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,accuracy_t2_o5,mouse_8.started,P2T_rectangle_2t_6.started,P3T_rectangle_2t_6.started,P6T_rectangle_2t_6.started,P7T_rectangle_2t_6.started,P10T_rectangle_2t_6.started,P11T_rectangle_2t_6.started,P1T_1t_7.started,P2T_1t_7.started,P3T_1t_7.started,P4T_1t_7.started,P5T_1t_7.started,P6T_1t_7.started,P7t_1t_7.started,P8t_1t_7.started,P9t_1t_7.started,P10t_1t_7.started,P11_1t_7.started,finish_8.started,accuracy_t2_o6,blank_box_4.started,key_resp_19.started,key_resp_19.keys,P1_sample_3t.started,P4_sample_3t.started,P5_sample_3t.started,key_resp_9.started,key_resp_9.keys,mouse_9.started,P1T_rectangle_3t_5.started,P4T_rectangle_3t_5.started,P5T_rectangle_3t_5.started,P8T_rectangle_3t_5.started,P9T_rectangle_3t_5.started,P1T_1t_8.started,P2T_1t_8.started,P3T_1t_8.started,P4T_1t_8.started,P5T_1t_8.started,P6T_1t_8.started,P7t_1t_8.started,P8t_1t_8.started,P9t_1t_8.started,finish_9.started,accuracy_t3_o5,mouse_10.started,P2T_rectangle_3t_6.started,P3T_rectangle_3t_6.started,P6T_rectangle_3t_6.started,P7T_rectangle_3t_6.started,P10T_rectangle_3t_6.started,P11T_rectangle_3t_6.started,P1T_1t_9.started,P2T_1t_9.started,P3T_1t_9.started,P4T_1t_9.started,P5T_1t_9.started,P6T_1t_9.started,P7t_1t_9.started,P8t_1t_9.started,P9t_1t_9.started,P10t_1t.started,P11_1t.started,finish_10.started,mouse_11.started,P2T_rectangle_3t_8.started,P3T_rectangle_3t_8.started,P6T_rectangle_3t_8.started,P7T_rectangle_3t_8.started,P12T_rectangle_3t_8.started,P13T_rectangle_3t_8.started,P14T_rectangle_3t_8.started,P15T_rectangle_3t_8.started,P1T_1t_10.started,P2T_1t_10.started,P3T_1t_10.started,P4T_1t_10.started,P5T_1t_10.started,P6T_1t_10.started,P7t_1t_10.started,P8t_1t_10.started,P9t_1t_10.started,P10t_1t_8.started,P11_1t_8.started,P12_1t_8.started,P13_1t_8.started,P14_1t_8.started,P15_1t_8.started,finish_11.started,accuracy_t3_o6,accuracy_t3_o8,blank_box_5.started,key_resp_20.started,key_resp_20.keys,P2_sample_4t.started,P3_sample_4t.started,P6_sample_4t.started,P7_sample_4t.started,key_resp_10.started,key_resp_10.keys,mouse_12.started,P2T_rectangle_4t_6.started,P3T_rectangle_4t_6.started,P6T_rectangle_4t_6.started,P7T_rectangle_4t_6.started,P10T_rectangle_4t_6.started,P11T_rectangle_4t_6.started,P1T_1t_11.started,P2T_1t_11.started,P3T_1t_11.started,P4T_1t_11.started,P5T_1t_11.started,P6T_1t_11.started,P7t_1t_11.started,P8t_1t_11.started,P9t_1t_11.started,P10t_1t_2.started,P11_1t_2.started,finish_12.started,accuracy_t4_o6,mouse_13.started,P2T_rectangle_4t_8.started,P3T_rectangle_4t_8.started,P6T_rectangle_4t_8.started,P7T_rectangle_4t_8.started,P12T_rectangle_4t_8.started,P13T_rectangle_4t_8.started,P14T_rectangle_4t_8.started,P15T_rectangle_4t_8.started,P1T_1t_12.started,P2T_1t_12.started,P3T_1t_12.started,P4T_1t_12.started,P5T_1t_12.started,P6T_1t_12.started,P7t_1t_12.started,P8t_1t_12.started,P9t_1t_12.started,P10t_1t_9.started,P11_1t_9.started,P12_1t.started,P13_1t.started,P14_1t.started,P15_1t.started,finish_13.started,mouse_14.started,P1T_rectangle_4t_10.started,P4T_rectangle_4t_10.started,P5T_rectangle_4t_10.started,P8T_rectangle_4t_10.started,P9T_rectangle_4t_10.started,P16T_rectangle_4t_10.started,P17T_rectangle_4t_10.started,P18T_rectangle_4t_10.started,P19T_rectangle_4t_10.started,P20T_rectangle_4t_10.started,P1T_1t_13.started,P2T_1t_13.started,P3T_1t_13.started,P4T_1t_13.started,P5T_1t_13.started,P6T_1t_13.started,P7t_1t_13.started,P8t_1t_13.started,P9t_1t_13.started,P10t_1t_10.started,P11_1t_10.started,P12_1t_9.started,P13_1t_9.started,P14_1t_9.started,P15_1t_9.started,P16_1t_9.started,P17_1t_9.started,P18_1t_9.started,P19_1t_9.started,P20_1t_9.started,finish_14.started,accuracy_t4_o8,accuracy_t4_o10,text_4.started,key_resp_13.started,key_resp_13.keys,key_resp_13.rt,totaltime_exp,Enter_Participant_ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.269815624982584,17.269815624982584,space,1.242187166993972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T999,2024-01-09_10h06.29.755,mn_generaltaskv3_010924,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.543976375018246,18.543976375018246,space,0.6762162079685368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T999,2024-01-09_10h06.29.755,mn_generaltaskv3_010924,2022.2.5,None,
1,sample1,colored PNG/PICTURE_203.png,None,None,None,None,colored PNG/PICTURE_203.png,colored PNG/PICTURE_508.png,None,None,None,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.25750666699605,19.25750666699605,space,0.6500324989901856,19.935176333005074,19.935176333005074,22.92853625002317,None,6.152924166992307,0.016512416012119502,23.435943500022404,23.435943500022404,23.435943500022404,23.435943500022404,23.435943500022404,1,8.365174792008474,2.2122506250161678,1,1,"[0.15580448065173116, 0.6252545824847251]","[0.003054989816700611, -0.3543788187372709]","[1, 1]","[0, 0]","[0, 0]","[1.3432545840041712, 2.197338292025961]",['P1T_rectangle'],25.670734542014543,25.670734542014543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T999,2024-01-09_10h06.29.755,mn_generaltaskv3_010924,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T999,2024-01-09_10h06.29.755,mn_generaltaskv3_010924,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.636335999995936,27.636335999995936,space,0.8039601659984328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T999,2024-01-09_10h06.29.755,mn_generaltaskv3_010924,2022.2.5,None,
1,item01,colored PNG/PICTURE_78.png,,,,None,colored PNG/PICTURE_353.png,colored PNG/PICTURE_78.png,None,None,None,1,0,0,1,0,0,0,2,test_p3,2.3,p3,None,None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.464447624981403,28.464447624981403,space,0.7895295409834944,,,,,15.859835667011794,,,,,,,,18.675848666985985,2.816012999974191,,1,,,,,,,,,,,,,,,29.27591999998549,29.27591999998549,32.27049583301414,None,0.3683078750036657,33.16771449998487,33.16771449998487,33.16771449998487,33.16771449998487,33.16771449998487,33.16771449998487,33.16771449998487,33.16771449998487,33.16771449998487,33.16771449998487,33.16771449998487,33.16771449998487,1,0,0.609979633401222,-0.3380855397148676,1,0,0,finish_2,0.012620916997548193,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,0.609979633401222,-0.3380855397148676,1,0,0,0.010281042021233588,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,35.95351070800098,0.609979633401222,-0.3380855397148676,1,0,0,0.609979633401222,-0.3380855397148676,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T999,2024-01-09_10h06.29.755,mn_generaltaskv3_010924,2022.2.5,None,
2,item02,colored PNG/PICTURE_423.png,,,,None,colored PNG/PICTURE_423.png,colored PNG/PICTURE_695.png,None,None,None,1,0,1,0,0,0,0,2,test_p2,2.3,p2,None,None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.95351070800098,35.95351070800098,space,0.6476259580231272,,,,,23.00599458400393,,,,,,,,27.92919987498317,4.92320529097924,,1,,,,,,,,,,,,,,,36.78186020802241,36.78186020802241,39.78192687500268,None,0.011879750003572553,40.285293749999255,40.285293749999255,40.285293749999255,40.285293749999255,40.285293749999255,40.285293749999255,40.285293749999255,40.285293749999255,40.285293749999255,40.285293749999255,40.285293749999255,40.285293749999255,,0,0.6038696537678208,-0.35539714867617106,1,0,0,finish_2,0.010128958965651691,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,0.6038696537678208,-0.35539714867617106,1,0,0,0.007912707980722189,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,45.20313937502215,0.6038696537678208,-0.35539714867617106,1,0,0,0.6038696537678208,-0.35539714867617106,1,0,0,40.285293749999255,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T999,2024-01-09_10h06.29.755,mn_generaltaskv3_010924,2022.2.5,None,
3,item03,colored PNG/PICTURE_264.png,,,,None,colored PNG/PICTURE_285.png,colored PNG/PICTURE_264.png,None,None,None,1,0,0,1,0,0,0,2,test_p3,2.3,p3,None,None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.20313937502215,45.20313937502215,space,0.8505388330086134,,,,,32.305236666987184,,,,,,,,34.55714741698466,2.251910749997478,,1,,,,,,,,,,,,,,,46.07836491701892,46.07836491701892,49.06804516701959,None,0.010978667007293552,49.58450991701102,49.58450991701102,49.58450991701102,49.58450991701102,49.58450991701102,49.58450991701102,49.58450991701102,49.58450991701102,49.58450991701102,49.58450991701102,49.58450991701102,49.58450991701102,1,0,0.5987780040733197,-0.3319755600814664,1,0,0,finish_2,0.00674891599919647,51.108283291978296,51.108283291978296,51.108283291978296,51.108283291978296,51.108283291978296,51.108283291978296,51.108283291978296,51.108283291978296,51.108283291978296,51.108283291978296,51.108283291978296,51.108283291978296,51.108283291978296,0.6120162932790224,-0.34623217922606925,1,0,0,0.008652999997138977,51.831176042032894,51.831176042032894,51.831176042032894,51.831176042032894,51.831176042032894,51.831176042032894,51.831176042032894,51.831176042032894,51.831176042032894,51.831176042032894,51.831176042032894,51.831176042032894,51.831176042032894,51.831176042032894,0.6120162932790224,-0.34623217922606925,1,0,0,0.6120162932790224,-0.34623217922606925,1,0,0,49.58450991701102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T999,2024-01-09_10h06.29.755,mn_generaltaskv3_010924,2022.2.5,None,
4,item04,colored PNG/PICTURE_423.png,,,,colored PNG/PICTURE_78.png,None,None,colored PNG/PICTURE_423.png,colored PNG/PICTURE_353.png,None,1,0,0,0,1,0,0,3,test_p4,"1,4,5",p4,None,None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.831176042032894,51.831176042032894,space,1.1380203739972785,,,,,39.23147783399327,,,,,,,1,40.937163750000764,1.7056859160074964,,1,,,,,,,,,,,,,,,52.992589792003855,52.992589792003855,55.987868792028166,None,,,,,,,,,,,,,,,,-0.010183299389002037,-0.009164969450101833,0,0,0,,0.01383337494917214,56.532096625014674,56.532096625014674,56.532096625014674,56.532096625014674,56.532096625014674,56.532096625014674,56.532096625014674,56.532096625014674,56.532096625014674,56.532096625014674,56.532096625014674,56.532096625014674,56.532096625014674,0.6181262729124236,-0.3421588594704684,1,0,0,0.01476183399790898,58.216126375016756,58.216126375016756,58.216126375016756,58.216126375016756,58.216126375016756,58.216126375016756,58.216126375016756,58.216126375016756,58.216126375016756,58.216126375016756,58.216126375016756,58.216126375016756,58.216126375016756,58.216126375016756,0.6181262729124236,-0.3421588594704684,1,0,0,0.6181262729124236,-0.3421588594704684,1,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T999,2024-01-09_10h06.29.755,mn_generaltaskv3_010924,2022.2.5,None,
5,item05,colored PNG/PICTURE_695.png,,,,colored PNG/PICTURE_285.png,None,None,colored PNG/PICTURE_78.png,colored PNG/PICTURE_695.png,None,1,0,0,0,0,1,0,3,test_p5,"1,4,5",p5,None,None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.216126375016756,58.216126375016756,space,0.3706770410062745,,,,,44.83908829197753,,,,,,,1,46.95470308396034,2.115614791982807,,1,,,,,,,,,,,,,,,58.610753541986924,58.610753541986924,61.60642995801754,None,,,,,,,,,,,,,,,,0.6181262729124236,-0.3421588594704684,0,0,0,,0.01282362500205636,62.13723008299712,62.13723008299712,62.13723008299712,62.13723008299712,62.13723008299712,62.13723008299712,62.13723008299712,62.13723008299712,62.13723008299712,62.13723008299712,62.13723008299712,62.13723008299712,62.13723008299712,0.6160896130346232,-0.335030549898167,1,0,0,0.01166062499396503,64.23113750002813,64.23113750002813,64.23113750002813,64.23113750002813,64.23113750002813,64.23113750002813,64.23113750002813,64.23113750002813,64.23113750002813,64.23113750002813,64.23113750002813,64.23113750002813,64.23113750002813,64.23113750002813,0.6160896130346232,-0.335030549898167,1,0,0,0.6160896130346232,-0.335030549898167,1,0,0,62.13723008299712,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T999,2024-01-09_10h06.29.755,mn_generaltaskv3_010924,2022.2.5,None,
