list,item,probe_p1,probe_p2,probe_p3,probe_p4,test_p1,test_p2,test_p3,test_p4,test_p5,test_p6,clicks,corr_p1,corr_p2,corr_p3,corr_p4,corr_p5,corr_p6,objects,target_pos,positions,probe_obj,test_p7,test_p8,test_p9,corr_p7,corr_p8,corr_p9,probe_p5,probe_p6,probe_p7,test_p10,test_p11,test_p12,test_p13,test_p14,test_p15,test_p16,test_p17,test_p18,test_p19,test_p20,corr_p10,corr_p11,corr_p12,corr_p13,corr_p14,corr_p15,corr_p16,corr_p17,corr_p18,corr_p19,corr_p20,sum,mng_practice_loop.thisRepN,mng_practice_loop.thisTrialN,mng_practice_loop.thisN,mng_practice_loop.thisIndex,mng_practice.thisRepN,mng_practice.thisTrialN,mng_practice.thisN,mng_practice.thisIndex,mng_exptrials_t1.thisRepN,mng_exptrials_t1.thisTrialN,mng_exptrials_t1.thisN,mng_exptrials_t1.thisIndex,mng_practice2_loop.thisRepN,mng_practice2_loop.thisTrialN,mng_practice2_loop.thisN,mng_practice2_loop.thisIndex,mng_practice2.thisRepN,mng_practice2.thisTrialN,mng_practice2.thisN,mng_practice2.thisIndex,mng_exptrials_t2.thisRepN,mng_exptrials_t2.thisTrialN,mng_exptrials_t2.thisN,mng_exptrials_t2.thisIndex,mng_exptrials_t3.thisRepN,mng_exptrials_t3.thisTrialN,mng_exptrials_t3.thisN,mng_exptrials_t3.thisIndex,mng_exptrials_t4.thisRepN,mng_exptrials_t4.thisTrialN,mng_exptrials_t4.thisN,mng_exptrials_t4.thisIndex,text.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,text_5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,blank_box.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,P1_sample.started,key_resp.started,P1_sample.stopped,key_resp.keys,start,mouse.started,P1T_rectangle.started,P2T_rectangle.started,P1T.started,P2T.started,finish.started,P2T_rectangle,P1T_rectangle,end,rt,accuracy,presented,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_28.started,image.started,key_resp_6.keys,key_resp_14.started,text_24.started,key_resp_14.keys,key_resp_14.rt,P1_sample_2.started,key_resp_5.started,P1_sample_2.stopped,key_resp_5.keys,mouse_2.started,P2T_rectangle_1t.started,P3T_rectangle_1t.started,P1T_1t.started,P2T_1t.started,P3T_1t.started,P4T_1t.started,P5T_1t.started,P6T_1t.started,P7t_1t.started,P8t_1t.started,P9t_1t.started,finish_2.started,accuracy_t1_o2,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.started,P1T_rectangle_1t_2.started,P4T_rectangle_1t_2.started,P5T_rectangle_1t_2.started,P1T_1t_2.started,P2T_1t_2.started,P3T_1t_2.started,P4T_1t_2.started,P5T_1t_2.started,P6T_1t_2.started,P7t_1t_2.started,P8t_1t_2.started,P9t_1t_2.started,finish_3.started,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_4.started,P2T_rectangle_1t_3.started,P3T_rectangle_1t_3.started,P6T_rectangle_1t_3.started,P7T_rectangle_1t_3.started,P1T_1t_3.started,P2T_1t_3.started,P3T_1t_3.started,P4T_1t_3.started,P5T_1t_3.started,P6T_1t_3.started,P7t_1t_3.started,P8t_1t_3.started,P9t_1t_3.started,finish_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,key_resp_5.stopped,P3T_rectangle,accuracy_t1_o3,accuracy_t1_o4,mouse_5.started,P1T_rectangle_1t_4.started,P4T_rectangle_1t_4.started,P5T_rectangle_1t_4.started,P8T_rectangle_1t_4.started,P9T_rectangle_1t_4.started,P1T_1t_4.started,P2T_1t_4.started,P3T_1t_4.started,P4T_1t_4.started,P5T_1t_4.started,P6T_1t_4.started,P7t_1t_4.started,P8t_1t_4.started,P9t_1t_4.started,finish_5.started,P4T_rectangle,accuracy_t1_o5,text_8.started,key_resp_7.started,key_resp_7.keys,blank_box_3.started,key_resp_18.started,key_resp_18.keys,P2_sample2_2t.started,P3_sample2_2t.started,key_resp_11.started,key_resp_11.keys,mouse_15.started,P2T_rectangle_2t_sample.started,P3T_rectangle_2t_sample.started,P6T_rectangle_2t_sample.started,P7T_rectangle_2t_sample.started,P1T_1t_14.started,P2T_1t_14.started,P3T_1t_14.started,P4T_1t_14.started,P5T_1t_14.started,P6T_1t_14.started,P7t_1t_14.started,finish_15.started,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,text_3.started,image_2.started,text_25.started,key_resp_15.started,key_resp_15.keys,key_resp_21.started,text_26.started,key_resp_21.keys,blank_box_2.started,key_resp_17.started,key_resp_17.keys,P2_sample_2t.started,P3_sample_2t.started,key_resp_8.started,key_resp_8.keys,mouse_18.started,P2T_rectangle_2t_4.started,P3T_rectangle_2t_4.started,P6T_rectangle_2t_4.started,P7T_rectangle_2t_4.started,P1T_1t_5.started,P2T_1t_5.started,P3T_1t_5.started,P4T_1t_5.started,P5T_1t_5.started,P6T_1t_5.started,P7t_1t_5.started,P8t_1t_5.started,P9t_1t_5.started,finish_6.started,accuracy_t2_o4,mouse_18.x,mouse_18.y,mouse_18.leftButton,mouse_18.midButton,mouse_18.rightButton,mouse_7.started,P1T_rectangle_2t_5.started,P4T_rectangle_2t_5.started,P5T_rectangle_2t_5.started,P8T_rectangle_2t_5.started,P9T_rectangle_2t_5.started,P1T_1t_6.started,P2T_1t_6.started,P3T_1t_6.started,P4T_1t_6.started,P5T_1t_6.started,P6T_1t_6.started,P7t_1t_6.started,P8t_1t_6.started,P9t_1t_6.started,finish_7.started,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,accuracy_t2_o5,mouse_8.started,P2T_rectangle_2t_6.started,P3T_rectangle_2t_6.started,P6T_rectangle_2t_6.started,P7T_rectangle_2t_6.started,P10T_rectangle_2t_6.started,P11T_rectangle_2t_6.started,P1T_1t_7.started,P2T_1t_7.started,P3T_1t_7.started,P4T_1t_7.started,P5T_1t_7.started,P6T_1t_7.started,P7t_1t_7.started,P8t_1t_7.started,P9t_1t_7.started,P10t_1t_7.started,P11_1t_7.started,finish_8.started,accuracy_t2_o6,blank_box_4.started,key_resp_19.started,key_resp_19.keys,P1_sample_3t.started,P4_sample_3t.started,P5_sample_3t.started,key_resp_9.started,key_resp_9.keys,mouse_9.started,P1T_rectangle_3t_5.started,P4T_rectangle_3t_5.started,P5T_rectangle_3t_5.started,P8T_rectangle_3t_5.started,P9T_rectangle_3t_5.started,P1T_1t_8.started,P2T_1t_8.started,P3T_1t_8.started,P4T_1t_8.started,P5T_1t_8.started,P6T_1t_8.started,P7t_1t_8.started,P8t_1t_8.started,P9t_1t_8.started,finish_9.started,accuracy_t3_o5,mouse_10.started,P2T_rectangle_3t_6.started,P3T_rectangle_3t_6.started,P6T_rectangle_3t_6.started,P7T_rectangle_3t_6.started,P10T_rectangle_3t_6.started,P11T_rectangle_3t_6.started,P1T_1t_9.started,P2T_1t_9.started,P3T_1t_9.started,P4T_1t_9.started,P5T_1t_9.started,P6T_1t_9.started,P7t_1t_9.started,P8t_1t_9.started,P9t_1t_9.started,P10t_1t.started,P11_1t.started,finish_10.started,mouse_11.started,P2T_rectangle_3t_8.started,P3T_rectangle_3t_8.started,P6T_rectangle_3t_8.started,P7T_rectangle_3t_8.started,P12T_rectangle_3t_8.started,P13T_rectangle_3t_8.started,P14T_rectangle_3t_8.started,P15T_rectangle_3t_8.started,P1T_1t_10.started,P2T_1t_10.started,P3T_1t_10.started,P4T_1t_10.started,P5T_1t_10.started,P6T_1t_10.started,P7t_1t_10.started,P8t_1t_10.started,P9t_1t_10.started,P10t_1t_8.started,P11_1t_8.started,P12_1t_8.started,P13_1t_8.started,P14_1t_8.started,P15_1t_8.started,finish_11.started,accuracy_t3_o6,accuracy_t3_o8,blank_box_5.started,key_resp_20.started,key_resp_20.keys,P2_sample_4t.started,P3_sample_4t.started,P6_sample_4t.started,P7_sample_4t.started,key_resp_10.started,key_resp_10.keys,mouse_12.started,P2T_rectangle_4t_6.started,P3T_rectangle_4t_6.started,P6T_rectangle_4t_6.started,P7T_rectangle_4t_6.started,P10T_rectangle_4t_6.started,P11T_rectangle_4t_6.started,P1T_1t_11.started,P2T_1t_11.started,P3T_1t_11.started,P4T_1t_11.started,P5T_1t_11.started,P6T_1t_11.started,P7t_1t_11.started,P8t_1t_11.started,P9t_1t_11.started,P10t_1t_2.started,P11_1t_2.started,finish_12.started,accuracy_t4_o6,mouse_13.started,P2T_rectangle_4t_8.started,P3T_rectangle_4t_8.started,P6T_rectangle_4t_8.started,P7T_rectangle_4t_8.started,P12T_rectangle_4t_8.started,P13T_rectangle_4t_8.started,P14T_rectangle_4t_8.started,P15T_rectangle_4t_8.started,P1T_1t_12.started,P2T_1t_12.started,P3T_1t_12.started,P4T_1t_12.started,P5T_1t_12.started,P6T_1t_12.started,P7t_1t_12.started,P8t_1t_12.started,P9t_1t_12.started,P10t_1t_9.started,P11_1t_9.started,P12_1t.started,P13_1t.started,P14_1t.started,P15_1t.started,finish_13.started,mouse_14.started,P1T_rectangle_4t_10.started,P4T_rectangle_4t_10.started,P5T_rectangle_4t_10.started,P8T_rectangle_4t_10.started,P9T_rectangle_4t_10.started,P16T_rectangle_4t_10.started,P17T_rectangle_4t_10.started,P18T_rectangle_4t_10.started,P19T_rectangle_4t_10.started,P20T_rectangle_4t_10.started,P1T_1t_13.started,P2T_1t_13.started,P3T_1t_13.started,P4T_1t_13.started,P5T_1t_13.started,P6T_1t_13.started,P7t_1t_13.started,P8t_1t_13.started,P9t_1t_13.started,P10t_1t_10.started,P11_1t_10.started,P12_1t_9.started,P13_1t_9.started,P14_1t_9.started,P15_1t_9.started,P16_1t_9.started,P17_1t_9.started,P18_1t_9.started,P19_1t_9.started,P20_1t_9.started,finish_14.started,accuracy_t4_o8,accuracy_t4_o10,text_4.started,key_resp_13.started,key_resp_13.keys,key_resp_13.rt,totaltime_exp,Enter_Participant_ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.127673500042874,11.127673500042874,space,1.1010348749696277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T9999,2024-01-09_10h23.18.270,mn_generaltaskv3_010924,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.261384166020434,12.261384166020434,space,0.4116583750001155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T9999,2024-01-09_10h23.18.270,mn_generaltaskv3_010924,2022.2.5,None,
1,sample1,colored PNG/PICTURE_203.png,None,None,None,None,colored PNG/PICTURE_203.png,colored PNG/PICTURE_508.png,None,None,None,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.707306833006442,12.707306833006442,space,0.5485465829842724,13.283303500036709,13.283303500036709,16.278886041021906,None,5.6459041250054725,0.02145845803897828,16.78913170803571,16.78913170803571,16.78913170803571,16.78913170803571,16.78913170803571,0,1,8.484650374972261,2.838746249966789,1,1,"[-0.11608961303462322, -0.10896130346232179, 0.07841140529531568, 0.6059063136456212]","[-0.01120162932790224, -0.01120162932790224, -0.01120162932790224, -0.3360488798370672]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.7335000410093926, 1.340870707994327, 1.8571352909784764, 2.8219862079713494]","['P2T_rectangle', 'P2T_rectangle', 'P1T_rectangle']",19.653104208002333,19.653104208002333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T9999,2024-01-09_10h23.18.270,mn_generaltaskv3_010924,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T9999,2024-01-09_10h23.18.270,mn_generaltaskv3_010924,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.61657183303032,21.61657183303032,space,0.6774501249892637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T9999,2024-01-09_10h23.18.270,mn_generaltaskv3_010924,2022.2.5,None,
1,item01,colored PNG/PICTURE_78.png,,,,None,colored PNG/PICTURE_353.png,colored PNG/PICTURE_78.png,None,None,None,1,0,0,1,0,0,0,2,test_p3,2.3,p3,None,None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.32154683303088,22.32154683303088,space,0.5905221249558963,,,,,15.297885374980979,,,,,,,1,,17.22054545796709,1.9226600829861127,,1,,,,,,,,,,,,,,,22.93001875001937,22.93001875001937,25.96316162502626,None,0.01653299998724833,26.438538415997755,26.438538415997755,26.438538415997755,26.438538415997755,26.438538415997755,26.438538415997755,26.438538415997755,26.438538415997755,26.438538415997755,26.438538415997755,26.438538415997755,26.438538415997755,0,0.6109979633401222,-0.33706720977596744,1,0,0,finish_2,0.008141665952280164,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,0.6109979633401222,-0.33706720977596744,1,0,0,0.006919624982401729,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,28.352174500003457,0.6109979633401222,-0.33706720977596744,1,0,0,0.6109979633401222,-0.33706720977596744,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T9999,2024-01-09_10h23.18.270,mn_generaltaskv3_010924,2022.2.5,None,
2,item02,colored PNG/PICTURE_423.png,,,,None,colored PNG/PICTURE_423.png,colored PNG/PICTURE_695.png,None,None,None,1,0,1,0,0,0,0,2,test_p2,2.3,p2,None,None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.352174500003457,28.352174500003457,space,0.43761199997970834,,,,,21.180800874950364,,,,,,,,,23.15940983296605,1.978608958015684,,1,,,,,,,,,,,,,,,28.81344287499087,28.81344287499087,31.811998290999327,None,0.013872166047804058,32.31871595804114,32.31871595804114,32.31871595804114,32.31871595804114,32.31871595804114,32.31871595804114,32.31871595804114,32.31871595804114,32.31871595804114,32.31871595804114,32.31871595804114,32.31871595804114,0,0.6018329938900203,-0.34419551934826886,1,0,0,finish_2,0.010997874953318387,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,0.6018329938900203,-0.34419551934826886,1,0,0,0.008388500020373613,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,34.29210162500385,0.6018329938900203,-0.34419551934826886,1,0,0,0.6018329938900203,-0.34419551934826886,1,0,0,32.31871595804114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T9999,2024-01-09_10h23.18.270,mn_generaltaskv3_010924,2022.2.5,None,
3,item03,colored PNG/PICTURE_264.png,,,,None,colored PNG/PICTURE_285.png,colored PNG/PICTURE_264.png,None,None,None,1,0,0,1,0,0,0,2,test_p3,2.3,p3,None,None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.29210162500385,34.29210162500385,space,0.4134862910141237,,,,,27.100692874984816,,,,,,,1,,28.85315995797282,1.7524670829880051,,1,,,,,,,,,,,,,,,34.725882875034586,34.725882875034586,37.722970583010465,None,0.02325433399528265,38.24024950002786,38.24024950002786,38.24024950002786,38.24024950002786,38.24024950002786,38.24024950002786,38.24024950002786,38.24024950002786,38.24024950002786,38.24024950002786,38.24024950002786,38.24024950002786,0,0.6130346232179226,-0.34317718940936864,1,0,0,finish_2,0.009732292033731937,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,0.6130346232179226,-0.3421588594704684,1,0,0,0.007840874954126775,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,39.98573362501338,0.6130346232179226,-0.3421588594704684,1,0,0,0.6130346232179226,-0.3421588594704684,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T9999,2024-01-09_10h23.18.270,mn_generaltaskv3_010924,2022.2.5,None,
4,item04,colored PNG/PICTURE_423.png,,,,colored PNG/PICTURE_78.png,None,None,colored PNG/PICTURE_423.png,colored PNG/PICTURE_353.png,None,1,0,0,0,1,0,0,3,test_p4,"1,4,5",p4,None,None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.98573362501338,39.98573362501338,space,0.3071722500026226,,,,,32.67336749995593,,,,,,,,1,35.593428540974855,2.9200610410189256,,1,,,,,,,,,,,,,,,40.30736841598991,40.30736841598991,43.30738495802507,None,,,,,,,,,,,,,,,0.6130346232179226,-0.3421588594704684,0,0,0,,0.015536708000581712,43.83433566603344,43.83433566603344,43.83433566603344,43.83433566603344,43.83433566603344,43.83433566603344,43.83433566603344,43.83433566603344,43.83433566603344,43.83433566603344,43.83433566603344,43.83433566603344,43.83433566603344,0.5906313645621182,-0.34012219959266804,1,0,0,0.0144943330087699,46.730709666037,46.730709666037,46.730709666037,46.730709666037,46.730709666037,46.730709666037,46.730709666037,46.730709666037,46.730709666037,46.730709666037,46.730709666037,46.730709666037,46.730709666037,46.730709666037,0.5906313645621182,-0.34012219959266804,1,0,0,0.5906313645621182,-0.34012219959266804,1,0,0,43.83433566603344,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T9999,2024-01-09_10h23.18.270,mn_generaltaskv3_010924,2022.2.5,None,
5,item05,colored PNG/PICTURE_695.png,,,,colored PNG/PICTURE_285.png,None,None,colored PNG/PICTURE_78.png,colored PNG/PICTURE_695.png,None,1,0,0,0,0,1,0,3,test_p5,"1,4,5",p5,None,None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.730709666037,46.730709666037,space,1.0568839579354972,,,,,40.17693545797374,,,,,,,,1,41.62347666599089,1.4465412080171518,,1,,,,,,,,,,,,,,,47.80433737504063,47.80433737504063,50.80313733301591,None,,,,,,,,,,,,,,,0.013238289205702648,0.04175152749490835,0,0,0,,0.01307258300948888,51.33453762502177,51.33453762502177,51.33453762502177,51.33453762502177,51.33453762502177,51.33453762502177,51.33453762502177,51.33453762502177,51.33453762502177,51.33453762502177,51.33453762502177,51.33453762502177,51.33453762502177,0.6059063136456212,-0.34623217922606925,1,0,0,0.01276829099515453,52.75936254102271,52.75936254102271,52.75936254102271,52.75936254102271,52.75936254102271,52.75936254102271,52.75936254102271,52.75936254102271,52.75936254102271,52.75936254102271,52.75936254102271,52.75936254102271,52.75936254102271,52.75936254102271,0.6059063136456212,-0.34623217922606925,1,0,0,0.6059063136456212,-0.34623217922606925,1,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T9999,2024-01-09_10h23.18.270,mn_generaltaskv3_010924,2022.2.5,None,
